tick,total_cum,"exit_(0, 50)","exit_(33, 0)","exit_(33, 99)","exit_(65, 50)"
0,0,0,0,0,0
1,0,0,0,0,0
2,0,0,0,0,0
3,0,0,0,0,0
4,0,0,0,0,0
5,0,0,0,0,0
6,0,0,0,0,0
7,2,1,0,1,0
8,3,1,0,2,0
9,3,1,0,2,0
10,4,1,1,2,0
11,4,1,1,2,0
12,5,1,2,2,0
13,6,1,3,2,0
14,6,1,3,2,0
15,7,1,4,2,0
16,7,1,4,2,0
17,7,1,4,2,0
18,8,1,5,2,0
19,8,1,5,2,0
20,9,1,6,2,0
21,9,1,6,2,0
22,9,1,6,2,0
23,9,1,6,2,0
24,9,1,6,2,0
25,11,2,7,2,0
26,12,3,7,2,0
27,12,3,7,2,0
28,13,4,7,2,0
29,14,4,8,2,0
30,14,4,8,2,0
31,15,5,8,2,0
32,15,5,8,2,0
33,15,5,8,2,0
34,15,5,8,2,0
35,16,5,9,2,0
36,16,5,9,2,0
37,16,5,9,2,0
38,17,6,9,2,0
39,19,7,10,2,0
40,19,7,10,2,0
41,19,7,10,2,0
42,19,7,10,2,0
43,20,7,11,2,0
44,20,7,11,2,0
45,20,7,11,2,0
46,20,7,11,2,0
47,20,7,11,2,0
48,20,7,11,2,0
49,20,7,11,2,0
50,20,7,11,2,0
51,20,7,11,2,0
52,20,7,11,2,0
53,20,7,11,2,0
54,20,7,11,2,0
55,20,7,11,2,0
56,20,7,11,2,0
57,20,7,11,2,0
58,20,7,11,2,0
59,20,7,11,2,0
60,20,7,11,2,0
61,20,7,11,2,0
62,20,7,11,2,0
63,20,7,11,2,0
64,20,7,11,2,0
65,20,7,11,2,0
66,20,7,11,2,0
67,20,7,11,2,0
68,20,7,11,2,0
69,20,7,11,2,0
70,20,7,11,2,0
71,20,7,11,2,0
72,20,7,11,2,0
73,20,7,11,2,0
74,20,7,11,2,0
75,20,7,11,2,0
76,20,7,11,2,0
77,21,7,11,2,1
78,21,7,11,2,1
79,21,7,11,2,1
80,21,7,11,2,1
81,21,7,11,2,1
82,21,7,11,2,1
83,21,7,11,2,1
84,21,7,11,2,1
85,21,7,11,2,1
86,21,7,11,2,1
87,21,7,11,2,1
88,21,7,11,2,1
89,21,7,11,2,1
90,21,7,11,2,1
91,21,7,11,2,1
92,21,7,11,2,1
93,21,7,11,2,1
94,21,7,11,2,1
95,21,7,11,2,1
96,21,7,11,2,1
97,21,7,11,2,1
98,21,7,11,2,1
99,21,7,11,2,1
100,21,7,11,2,1
101,21,7,11,2,1
102,21,7,11,2,1
103,21,7,11,2,1
104,21,7,11,2,1
105,21,7,11,2,1
106,21,7,11,2,1
107,21,7,11,2,1
108,21,7,11,2,1
109,21,7,11,2,1
110,21,7,11,2,1
111,21,7,11,2,1
112,21,7,11,2,1
113,21,7,11,2,1
114,21,7,11,2,1
115,21,7,11,2,1
116,21,7,11,2,1
117,21,7,11,2,1
118,21,7,11,2,1
119,21,7,11,2,1
120,21,7,11,2,1
121,21,7,11,2,1
122,21,7,11,2,1
123,21,7,11,2,1
124,21,7,11,2,1
125,21,7,11,2,1
126,21,7,11,2,1
127,21,7,11,2,1
128,21,7,11,2,1
129,21,7,11,2,1
130,21,7,11,2,1
131,21,7,11,2,1
132,21,7,11,2,1
133,21,7,11,2,1
134,21,7,11,2,1
135,21,7,11,2,1
136,21,7,11,2,1
137,21,7,11,2,1
138,21,7,11,2,1
139,21,7,11,2,1
140,21,7,11,2,1
141,21,7,11,2,1
142,21,7,11,2,1
143,21,7,11,2,1
144,21,7,11,2,1
145,21,7,11,2,1
146,21,7,11,2,1
147,21,7,11,2,1
148,21,7,11,2,1
149,21,7,11,2,1
150,21,7,11,2,1
151,21,7,11,2,1
152,21,7,11,2,1
153,21,7,11,2,1
154,21,7,11,2,1
155,21,7,11,2,1
156,21,7,11,2,1
157,21,7,11,2,1
158,21,7,11,2,1
159,21,7,11,2,1
160,21,7,11,2,1
161,21,7,11,2,1
162,21,7,11,2,1
163,21,7,11,2,1
164,21,7,11,2,1
165,21,7,11,2,1
166,21,7,11,2,1
167,21,7,11,2,1
168,21,7,11,2,1
169,21,7,11,2,1
170,21,7,11,2,1
171,21,7,11,2,1
172,21,7,11,2,1
173,21,7,11,2,1
174,21,7,11,2,1
175,21,7,11,2,1
176,21,7,11,2,1
177,21,7,11,2,1
178,21,7,11,2,1
179,21,7,11,2,1
180,21,7,11,2,1
181,21,7,11,2,1
182,21,7,11,2,1
183,21,7,11,2,1
184,21,7,11,2,1
185,21,7,11,2,1
186,22,7,11,2,2
187,23,7,11,2,3
188,23,7,11,2,3
189,23,7,11,2,3
190,24,7,11,2,4
191,25,7,11,2,5
192,25,7,11,2,5
193,25,7,11,2,5
194,25,7,11,2,5
195,25,7,11,2,5
196,25,7,11,2,5
197,25,7,11,2,5
198,25,7,11,2,5
199,25,7,11,2,5
200,25,7,11,2,5
201,25,7,11,2,5
202,25,7,11,2,5
203,25,7,11,2,5
204,25,7,11,2,5
205,25,7,11,2,5
206,25,7,11,2,5
207,25,7,11,2,5
208,25,7,11,2,5
209,25,7,11,2,5
210,25,7,11,2,5
211,25,7,11,2,5
212,25,7,11,2,5
213,25,7,11,2,5
214,25,7,11,2,5
215,25,7,11,2,5
216,25,7,11,2,5
217,25,7,11,2,5
218,25,7,11,2,5
219,25,7,11,2,5
220,25,7,11,2,5
221,25,7,11,2,5
222,25,7,11,2,5
223,25,7,11,2,5
224,25,7,11,2,5
225,25,7,11,2,5
226,25,7,11,2,5
227,25,7,11,2,5
228,25,7,11,2,5
229,25,7,11,2,5
230,25,7,11,2,5
231,25,7,11,2,5
232,25,7,11,2,5
233,25,7,11,2,5
234,25,7,11,2,5
235,25,7,11,2,5
236,25,7,11,2,5
237,26,7,11,2,6
238,26,7,11,2,6
239,26,7,11,2,6
240,26,7,11,2,6
241,26,7,11,2,6
242,26,7,11,2,6
243,26,7,11,2,6
244,26,7,11,2,6
245,26,7,11,2,6
246,26,7,11,2,6
247,26,7,11,2,6
248,26,7,11,2,6
249,26,7,11,2,6
250,26,7,11,2,6
251,26,7,11,2,6
252,26,7,11,2,6
253,26,7,11,2,6
254,26,7,11,2,6
255,26,7,11,2,6
256,26,7,11,2,6
257,26,7,11,2,6
258,26,7,11,2,6
259,26,7,11,2,6
260,26,7,11,2,6
261,26,7,11,2,6
262,26,7,11,2,6
263,26,7,11,2,6
264,26,7,11,2,6
265,26,7,11,2,6
266,26,7,11,2,6
267,26,7,11,2,6
268,26,7,11,2,6
269,26,7,11,2,6
270,26,7,11,2,6
271,26,7,11,2,6
272,26,7,11,2,6
273,26,7,11,2,6
274,26,7,11,2,6
275,26,7,11,2,6
276,26,7,11,2,6
277,26,7,11,2,6
278,26,7,11,2,6
279,26,7,11,2,6
280,26,7,11,2,6
281,26,7,11,2,6
282,26,7,11,2,6
283,26,7,11,2,6
284,26,7,11,2,6
285,26,7,11,2,6
286,26,7,11,2,6
287,26,7,11,2,6
288,26,7,11,2,6
289,26,7,11,2,6
290,26,7,11,2,6
291,26,7,11,2,6
292,26,7,11,2,6
293,26,7,11,2,6
294,26,7,11,2,6
295,26,7,11,2,6
296,26,7,11,2,6
297,26,7,11,2,6
298,26,7,11,2,6
299,26,7,11,2,6
300,26,7,11,2,6
301,26,7,11,2,6
302,26,7,11,2,6
303,26,7,11,2,6
304,26,7,11,2,6
305,26,7,11,2,6
306,26,7,11,2,6
307,26,7,11,2,6
308,26,7,11,2,6
309,26,7,11,2,6
310,26,7,11,2,6
311,26,7,11,2,6
312,27,7,11,3,6
313,27,7,11,3,6
314,27,7,11,3,6
315,27,7,11,3,6
316,27,7,11,3,6
317,28,7,11,4,6
318,28,7,11,4,6
319,29,7,11,5,6
320,29,7,11,5,6
321,29,7,11,5,6
322,29,7,11,5,6
323,29,7,11,5,6
324,29,7,11,5,6
325,29,7,11,5,6
326,29,7,11,5,6
327,29,7,11,5,6
328,29,7,11,5,6
329,29,7,11,5,6
330,29,7,11,5,6
331,29,7,11,5,6
332,29,7,11,5,6
333,29,7,11,5,6
334,29,7,11,5,6
335,29,7,11,5,6
336,29,7,11,5,6
337,29,7,11,5,6
338,29,7,11,5,6
339,29,7,11,5,6
340,29,7,11,5,6
341,29,7,11,5,6
342,29,7,11,5,6
343,29,7,11,5,6
344,29,7,11,5,6
345,29,7,11,5,6
346,29,7,11,5,6
347,29,7,11,5,6
348,29,7,11,5,6
349,29,7,11,5,6
350,29,7,11,5,6
351,29,7,11,5,6
352,29,7,11,5,6
353,29,7,11,5,6
354,29,7,11,5,6
355,29,7,11,5,6
356,29,7,11,5,6
357,29,7,11,5,6
358,29,7,11,5,6
359,29,7,11,5,6
360,29,7,11,5,6
361,29,7,11,5,6
362,29,7,11,5,6
363,29,7,11,5,6
364,29,7,11,5,6
365,29,7,11,5,6
366,29,7,11,5,6
367,29,7,11,5,6
368,29,7,11,5,6
369,29,7,11,5,6
370,29,7,11,5,6
371,29,7,11,5,6
372,29,7,11,5,6
373,29,7,11,5,6
374,29,7,11,5,6
375,29,7,11,5,6
376,29,7,11,5,6
377,29,7,11,5,6
378,29,7,11,5,6
379,29,7,11,5,6
380,29,7,11,5,6
381,29,7,11,5,6
382,30,7,11,6,6
383,30,7,11,6,6
384,30,7,11,6,6
385,30,7,11,6,6
386,30,7,11,6,6
387,30,7,11,6,6
388,30,7,11,6,6
389,30,7,11,6,6
390,30,7,11,6,6
391,30,7,11,6,6
392,30,7,11,6,6
393,30,7,11,6,6
394,30,7,11,6,6
395,30,7,11,6,6
396,30,7,11,6,6
397,30,7,11,6,6
398,31,7,11,7,6
399,31,7,11,7,6
400,31,7,11,7,6
401,31,7,11,7,6
402,31,7,11,7,6
403,31,7,11,7,6
404,31,7,11,7,6
405,31,7,11,7,6
406,31,7,11,7,6
407,31,7,11,7,6
408,31,7,11,7,6
409,31,7,11,7,6
410,31,7,11,7,6
411,31,7,11,7,6
412,31,7,11,7,6
413,31,7,11,7,6
414,31,7,11,7,6
415,31,7,11,7,6
416,31,7,11,7,6
417,31,7,11,7,6
418,31,7,11,7,6
419,31,7,11,7,6
420,31,7,11,7,6
421,31,7,11,7,6
422,31,7,11,7,6
423,31,7,11,7,6
424,31,7,11,7,6
425,31,7,11,7,6
426,31,7,11,7,6
427,32,7,11,8,6
428,32,7,11,8,6
429,32,7,11,8,6
430,32,7,11,8,6
431,32,7,11,8,6
432,32,7,11,8,6
433,32,7,11,8,6
434,32,7,11,8,6
435,32,7,11,8,6
436,32,7,11,8,6
437,32,7,11,8,6
438,32,7,11,8,6
439,32,7,11,8,6
440,32,7,11,8,6
441,32,7,11,8,6
442,32,7,11,8,6
443,32,7,11,8,6
444,32,7,11,8,6
445,32,7,11,8,6
446,32,7,11,8,6
447,32,7,11,8,6
448,32,7,11,8,6
449,32,7,11,8,6
450,32,7,11,8,6
451,32,7,11,8,6
452,33,7,11,8,7
453,33,7,11,8,7
454,33,7,11,8,7
455,33,7,11,8,7
456,33,7,11,8,7
457,33,7,11,8,7
458,33,7,11,8,7
459,33,7,11,8,7
460,33,7,11,8,7
461,33,7,11,8,7
462,33,7,11,8,7
463,33,7,11,8,7
464,33,7,11,8,7
465,33,7,11,8,7
466,33,7,11,8,7
467,33,7,11,8,7
468,33,7,11,8,7
469,33,7,11,8,7
470,33,7,11,8,7
471,33,7,11,8,7
472,33,7,11,8,7
473,33,7,11,8,7
474,33,7,11,8,7
475,33,7,11,8,7
476,33,7,11,8,7
477,34,7,11,8,8
478,34,7,11,8,8
479,34,7,11,8,8
480,34,7,11,8,8
481,34,7,11,8,8
482,34,7,11,8,8
483,34,7,11,8,8
484,34,7,11,8,8
485,34,7,11,8,8
486,34,7,11,8,8
487,34,7,11,8,8
488,34,7,11,8,8
489,34,7,11,8,8
490,34,7,11,8,8
491,34,7,11,8,8
492,35,7,11,8,9
493,35,7,11,8,9
494,35,7,11,8,9
495,35,7,11,8,9
496,35,7,11,8,9
497,35,7,11,8,9
498,35,7,11,8,9
499,35,7,11,8,9
